EventId_x,Type_x,Severity_x,Type_y,Severity_y,Distance(mi),Side
W-5496857,Rain,Light,Congestion,0.0,0.0,L
W-4994841,Rain,Light,Congestion,1.0,0.0,R
W-1523841,Fog,Moderate,Congestion,1.0,0.0,L
W-1317140,Cold,Severe,Congestion,1.0,0.0,L
W-1713002,Rain,Moderate,Congestion,1.0,0.0,L
W-202426,Fog,Severe,Congestion,1.0,0.0,R
W-4546808,Rain,Light,Congestion,1.0,0.0,L
W-1633937,Rain,Light,Congestion,1.0,0.0,R
W-202427,Rain,Heavy,Congestion,0.0,0.0,R
W-2013065,Rain,Light,Congestion,1.0,0.0,R
W-5083276,Rain,Light,Congestion,2.0,0.0,R
W-2351440,Fog,Severe,Congestion,0.0,0.0,R
W-1378983,Fog,Moderate,Congestion,1.0,0.0,R
W-1713003,Rain,Heavy,Congestion,1.0,0.0,L
W-788231,Rain,Light,Congestion,2.0,0.0,L
W-5767669,Rain,Light,Congestion,1.0,0.0,R
W-202428,Rain,Light,Congestion,0.0,0.0,R
W-3796949,Rain,Light,Congestion,1.0,0.0,L
W-788232,Rain,Moderate,Congestion,1.0,0.0,R
W-1124532,Rain,Light,Congestion,2.0,0.0,R
W-2351441,Rain,Heavy,Congestion,1.0,0.0,L
W-3842635,Rain,Light,Congestion,1.0,0.0,R
W-4994842,Rain,Light,Flow-Incident,3.0,0.0,R
W-4227782,Rain,Light,Congestion,1.0,0.0,R
W-278609,Rain,Light,Congestion,0.0,0.0,R
W-1713004,Rain,Light,Congestion,1.0,0.0,L
W-788233,Precipitation,UNK,Congestion,1.0,0.0,L
W-5083277,Rain,Moderate,Congestion,2.0,0.0,L
W-5772632,Rain,Light,Congestion,1.0,0.0,L
W-5083278,Fog,Severe,Congestion,2.0,0.0,L
W-1633938,Rain,Light,Congestion,1.0,0.0,L
W-5418851,Rain,Light,Congestion,1.0,0.0,L
W-1317141,Cold,Severe,Congestion,1.0,0.0,L
W-2351442,Rain,Light,Congestion,1.0,0.0,R
W-1124533,Fog,Moderate,Congestion,1.0,0.0,R
W-2892754,Rain,Light,Congestion,1.0,0.0,R
W-4227783,Rain,Light,Congestion,2.0,0.0,L
W-5496858,Rain,Light,Congestion,0.0,0.0,R
W-5767670,Rain,Light,Congestion,2.0,0.0,L
W-5418852,Rain,Moderate,Flow-Incident,3.0,0.0,R
W-2351443,Rain,Moderate,Congestion,1.0,0.0,R
W-1124534,Rain,Light,Congestion,1.0,0.0,R
W-2191404,Rain,Light,Congestion,2.0,0.0,L
W-5012749,Rain,Light,Congestion,1.0,0.0,R
W-2892755,Rain,Light,Congestion,1.0,0.0,R
W-5746484,Rain,Light,Congestion,2.0,0.0,R
W-2351444,Rain,Light,Accident,2.0,0.0,R
W-1633939,Rain,Moderate,Congestion,1.0,0.0,L
W-5012750,Fog,Severe,Congestion,2.0,0.0,R
W-5496859,Fog,Severe,Congestion,2.0,0.0,L
W-5746485,Fog,Severe,Congestion,1.0,0.0,R
W-1633940,Rain,Heavy,Congestion,1.0,0.0,L
W-202429,Rain,Light,Accident,2.0,0.0,R
W-5012751,Rain,Light,Congestion,1.0,0.0,R
W-2191405,Rain,Light,Congestion,2.0,0.0,R
W-5012752,Rain,Moderate,Congestion,1.0,0.0,R
W-5012753,Rain,Heavy,Congestion,2.0,0.0,R
W-4894941,Rain,Light,Congestion,1.0,0.0,L
W-5703222,Rain,Moderate,Congestion,2.0,0.0,L
W-5418853,Rain,Light,Congestion,1.0,0.0,L
W-5703223,Rain,Heavy,Congestion,2.0,0.0,L
W-5767671,Rain,Light,Accident,3.0,0.0,R
W-788234,Rain,Light,Broken-Vehicle,2.0,0.0,R
W-2510091,Rain,Light,Congestion,1.0,0.0,L
W-1586434,Rain,Light,Congestion,2.0,0.0,R
W-2892756,Rain,Heavy,Congestion,1.0,0.0,R
W-2723235,Rain,Light,Broken-Vehicle,2.0,0.0,R
W-5746486,Fog,Moderate,Accident,2.0,0.0,R
W-2892757,Rain,Light,Accident,2.0,0.0,R
W-5703224,Rain,Moderate,Congestion,1.0,0.0,L
W-5586161,Rain,Light,Congestion,2.0,0.0,R
W-2510092,Rain,Light,Congestion,1.0,0.0,L
W-303326,Fog,Moderate,Congestion,1.0,0.0,L
W-5586162,Rain,Light,Congestion,2.0,0.0,R
W-5746487,Rain,Heavy,Accident,2.0,0.0,R
W-4994843,Rain,Light,Congestion,1.0,0.0,R
W-5746488,Rain,Light,Accident,2.0,0.0,R
W-5703225,Rain,Light,Congestion,3.0,0.0,R
W-5772634,Rain,Light,Congestion,3.0,0.0,R
W-2191406,Rain,Light,Congestion,3.0,0.0,R
W-5012754,Rain,Moderate,Accident,2.0,0.0,R
W-5767672,Rain,Light,Congestion,3.0,0.0,R
W-303327,Rain,Light,Congestion,2.0,0.0,R
W-5703226,Rain,Light,Congestion,1.0,0.0,R
W-5772635,Rain,Light,Congestion,1.0,0.0,R
W-1633945,Rain,Moderate,Congestion,2.0,0.0,R
W-1124537,Rain,Light,Congestion,3.0,0.0,R
W-1633946,Rain,Light,Congestion,2.0,0.0,R
W-1186931,Rain,Light,Lane-Blocked,2.0,0.0,L
W-1633947,Rain,Light,Accident,3.0,0.0,R
W-1317147,Cold,Severe,Congestion,1.0,0.0,R
W-1317148,Cold,Severe,Congestion,1.0,0.0,R
W-2892759,Rain,Light,Congestion,2.0,0.0,R
W-2892760,Rain,Light,Congestion,2.0,0.0,R
W-278611,Rain,Light,Accident,2.0,0.0,L
W-788235,Rain,Moderate,Congestion,1.0,0.0,L
W-788236,Rain,Light,Congestion,1.0,0.0,L
W-278612,Rain,Moderate,Accident,2.0,0.0,L
W-3796950,Rain,Light,Congestion,1.0,0.0,L
W-4227785,Rain,Light,Event,2.0,0.0,L
W-5767675,Rain,Heavy,Accident,3.0,0.0,R
W-2191408,Rain,Light,Accident,3.0,0.0,R
W-5767676,Rain,Moderate,Accident,3.0,0.0,R
W-5703228,Rain,Light,Accident,3.0,0.0,R
W-5703229,Rain,Heavy,Accident,2.0,0.0,R
W-5767677,Rain,Heavy,Accident,2.0,0.0,R
W-5703230,Rain,Light,Accident,2.0,0.0,R
W-4227789,Rain,Light,Accident,3.0,0.0,R
W-278615,Rain,Light,Accident,2.0,0.0,R
W-4227790,Rain,Moderate,Accident,3.0,0.0,R
W-4227791,Fog,Severe,Accident,2.0,0.0,R
W-2191409,Rain,Light,Accident,2.0,0.0,R
W-4227792,Rain,Heavy,Accident,2.0,0.0,R
W-4994848,Rain,Light,Accident,2.0,0.0,R
W-5767678,Rain,Light,Accident,3.0,0.0,R
W-2191410,Cold,Severe,Accident,3.0,0.0,R
W-2191411,Rain,Light,Accident,3.0,0.0,R
W-278616,Rain,Moderate,Accident,2.0,0.0,R
W-4994849,Rain,Moderate,Accident,2.0,0.0,R
W-5772636,Rain,Light,Accident,3.0,0.0,R
W-2191412,Fog,Severe,Accident,3.0,0.0,R
W-4994850,Rain,Light,Accident,2.0,0.0,R
W-2191413,Rain,Light,Accident,3.0,0.0,R
W-5083283,Rain,Light,Accident,2.0,0.0,L
W-5703231,Rain,Light,Accident,3.0,0.0,R
W-278617,Rain,Light,Accident,2.0,0.0,R
W-788238,Rain,Light,Congestion,1.0,0.0,R
W-788239,Rain,Moderate,Congestion,1.0,0.0,R
W-3042986,Rain,Light,Congestion,1.0,0.0,R
W-3930527,Rain,Light,Lane-Blocked,3.0,0.0,R
W-1523847,Rain,Light,Congestion,1.0,0.0,L
W-788240,Fog,Severe,Accident,3.0,0.0,R
W-788241,Rain,Heavy,Accident,2.0,0.0,L
W-1523848,Rain,Moderate,Congestion,1.0,0.0,L
W-5586166,Rain,Light,Lane-Blocked,2.0,0.0,L
W-3042987,Rain,Light,Congestion,1.0,0.0,R
W-788242,Rain,Light,Accident,2.0,0.0,L
W-1523849,Fog,Severe,Congestion,1.0,0.0,L
W-1523850,Rain,Heavy,Congestion,1.0,0.0,L
W-1378986,Fog,Moderate,Congestion,2.0,0.0,L
W-3796952,Rain,Light,Congestion,0.0,0.0,R
W-3258552,Rain,Light,Flow-Incident,3.0,0.0,R
W-788243,Rain,Light,Accident,2.0,0.0,R
W-3796953,Rain,Moderate,Congestion,1.0,0.0,R
W-4546809,Rain,Light,Congestion,1.0,0.0,R
W-3796954,Rain,Heavy,Congestion,2.0,0.0,R
W-303331,Rain,Light,Congestion,1.0,0.0,L
W-3842639,Rain,Light,Congestion,1.0,0.0,R
W-2456567,Rain,Light,Congestion,2.0,0.0,L
W-1586436,Rain,Light,Congestion,1.0,0.0,R
W-2723237,Rain,Heavy,Congestion,1.0,0.0,R
W-2723238,Rain,Light,Congestion,1.0,0.0,L
W-1378987,Rain,Light,Congestion,2.0,0.0,L
W-3796955,Rain,Light,Flow-Incident,1.0,0.0,L
W-788244,Rain,Moderate,Congestion,1.0,0.0,L
W-1186934,Fog,Moderate,Congestion,1.0,0.0,R
W-788245,Fog,Severe,Congestion,1.0,0.0,R
W-1186935,Fog,Severe,Congestion,0.0,0.0,L
W-1186936,Rain,Light,Congestion,0.0,0.0,L
W-788246,Rain,Heavy,Congestion,1.0,0.0,L
W-2892774,Rain,Light,Congestion,1.0,0.0,R
W-2723239,Rain,Heavy,Congestion,1.0,0.0,L
W-3258553,Rain,Light,Congestion,1.0,0.0,R
W-2892775,Rain,Light,Congestion,1.0,0.0,R
W-788247,Rain,Light,Congestion,2.0,0.0,R
W-2723240,Rain,Light,Congestion,1.0,0.0,R
W-2892776,Rain,Light,Congestion,1.0,0.0,R
W-1124541,Rain,Light,Congestion,1.0,0.0,L
W-2892777,Rain,Light,Congestion,1.0,0.0,L
W-4894945,Rain,Light,Congestion,1.0,0.0,R
W-1378988,Rain,Light,Flow-Incident,1.0,0.0,L
W-788248,Rain,Moderate,Accident,2.0,0.0,R
W-1186937,Rain,Heavy,Congestion,1.0,0.0,L
W-1186938,Rain,Light,Congestion,1.0,0.0,R
W-979887,Rain,Light,Congestion,1.0,0.0,L
W-1317156,Cold,Severe,Congestion,1.0,0.0,L
W-1186939,Rain,Moderate,Congestion,0.0,0.0,L
W-202433,Rain,Light,Congestion,1.0,0.0,L
W-1186940,Rain,Light,Accident,2.0,0.0,R
W-4994851,Rain,Light,Congestion,2.0,0.0,R
W-2191414,Rain,Light,Lane-Blocked,2.0,0.0,R
W-4994852,Rain,Light,Congestion,2.0,0.0,R
W-4994853,Rain,Light,Broken-Vehicle,2.0,0.0,R
W-2892778,Rain,Light,Congestion,1.0,0.0,L
W-925185,Rain,Light,Accident,2.0,0.0,L
W-3258554,Rain,Light,Congestion,1.0,0.0,L
W-1523851,Rain,Light,Lane-Blocked,2.0,0.0,L
W-3429913,Rain,Light,Congestion,2.0,0.0,L
W-5586168,Rain,Moderate,Congestion,2.0,0.0,R
W-1124542,Rain,Light,Congestion,1.0,0.0,R
W-1586437,Rain,Light,Congestion,2.0,0.0,R
W-6144287,Fog,Severe,Congestion,1.0,0.0,R
W-6144288,Fog,Moderate,Congestion,1.0,0.0,R
W-5703232,Rain,Light,Congestion,2.0,0.0,L
W-3842641,Rain,Light,Congestion,2.0,0.0,R
W-3930528,Rain,Light,Congestion,2.0,0.0,R
W-4227793,Rain,Light,Congestion,0.0,0.0,R
W-2351451,Rain,Light,Flow-Incident,2.0,0.0,R
W-2892780,Rain,Light,Congestion,1.0,0.0,L
W-2191415,Rain,Light,Congestion,2.0,0.0,R
W-2892781,Rain,Light,Congestion,1.0,0.0,L
W-5772637,Rain,Light,Broken-Vehicle,2.0,0.0,R
W-2892782,Rain,Light,Congestion,1.0,0.0,L
W-2892783,Rain,Light,Congestion,1.0,0.0,L
W-3796956,Rain,Light,Congestion,1.0,0.0,R
W-1186941,Rain,Light,Congestion,2.0,0.0,R
W-1186942,Rain,Light,Congestion,1.0,0.0,R
W-5746492,Rain,Light,Flow-Incident,2.0,0.0,R
W-5012761,Rain,Light,Flow-Incident,2.0,0.0,R
W-5746494,Rain,Moderate,Flow-Incident,2.0,0.0,R
W-1633950,Rain,Light,Congestion,1.0,0.0,R
W-2013066,Rain,Light,Congestion,1.0,0.0,R
W-1186943,Rain,Light,Congestion,1.0,0.0,R
W-2351452,Rain,Light,Congestion,2.0,0.0,R
W-5418859,Rain,Light,Congestion,0.0,0.0,L
W-5746495,Rain,Light,Congestion,1.0,0.0,R
W-1124544,Rain,Light,Congestion,1.0,0.0,L
W-303332,Rain,Light,Congestion,1.0,0.0,L
W-3042991,Rain,Light,Congestion,1.0,0.0,R
W-2013067,Rain,Light,Congestion,2.0,0.0,R
W-5703233,Rain,Light,Congestion,1.0,0.0,R
W-3842644,Rain,Light,Congestion,1.0,0.0,R
W-5012762,Rain,Moderate,Congestion,1.0,0.0,R
W-3930530,Rain,Light,Accident,3.0,0.0,R
W-3842645,Rain,Heavy,Congestion,1.0,0.0,R
W-1378990,Rain,Light,Congestion,1.0,0.0,R
W-5746496,Rain,Light,Congestion,1.0,0.0,R
W-3796957,Rain,Light,Congestion,1.0,0.0,L
W-788249,Rain,Light,Congestion,1.0,0.0,R
W-5012763,Rain,Light,Congestion,2.0,0.0,R
W-5746497,Rain,Moderate,Congestion,2.0,0.0,R
W-2013068,Rain,Light,Congestion,2.0,0.0,R
W-5746498,Rain,Heavy,Congestion,2.0,0.0,R
W-788250,Rain,Light,Congestion,1.0,0.0,R
W-5418860,Rain,Light,Congestion,1.0,0.0,R
W-5746499,Fog,Severe,Congestion,2.0,0.0,R
W-1633951,Rain,Moderate,Accident,3.0,0.0,R
W-3842646,Rain,Moderate,Accident,3.0,0.0,R
W-1633952,Fog,Severe,Congestion,1.0,0.0,R
W-5746500,Rain,Heavy,Congestion,2.0,0.0,R
W-1633953,Rain,Heavy,Congestion,1.0,0.0,R
W-1633954,Rain,Light,Congestion,1.0,0.0,R
W-5746501,Rain,Light,Congestion,2.0,0.0,R
W-1186944,Rain,Light,Congestion,1.0,0.0,R
W-1633955,Rain,Moderate,Congestion,1.0,0.0,R
W-3842647,Rain,Light,Accident,3.0,0.0,R
W-1633956,Rain,Light,Congestion,1.0,0.0,R
W-2191421,Rain,Light,Congestion,1.0,0.0,R
W-2191422,Rain,Light,Congestion,1.0,0.0,R
W-1713020,Rain,Light,Congestion,2.0,0.0,R
W-2351456,Rain,Light,Accident,3.0,0.0,R
W-2191423,Rain,Light,Accident,3.0,0.0,R
W-2191424,Rain,Light,Accident,3.0,0.0,R
W-1586438,Rain,Light,Congestion,1.0,0.0,R
W-5767679,Rain,Light,Accident,3.0,0.0,R
W-5703237,Rain,Light,Accident,3.0,0.0,R
W-5767680,Rain,Moderate,Accident,3.0,0.0,R
W-1586439,Storm,Severe,Congestion,1.0,0.0,R
W-5767681,Rain,Light,Accident,3.0,0.0,R
W-5772641,Rain,Light,Congestion,2.0,0.0,R
W-2191425,Rain,Light,Congestion,3.0,0.0,R
W-3930533,Rain,Light,Congestion,2.0,0.0,R
W-5703238,Rain,Moderate,Congestion,3.0,0.0,R
W-2892786,Rain,Light,Accident,2.0,0.0,L
W-5767682,Rain,Moderate,Flow-Incident,4.0,0.0,R
W-3042992,Rain,Light,Congestion,1.0,0.0,R
W-3796959,Rain,Light,Congestion,3.0,0.0,R
W-2191426,Rain,Moderate,Flow-Incident,4.0,0.0,R
W-5703239,Rain,Light,Congestion,2.0,0.0,R
W-979888,Rain,Light,Congestion,1.0,0.0,L
W-3796960,Rain,Heavy,Congestion,3.0,0.0,R
W-2723241,Rain,Light,Congestion,2.0,0.0,R
W-2191427,Rain,Light,Congestion,2.0,0.0,R
W-2723242,Rain,Moderate,Congestion,2.0,0.0,R
W-3930535,Rain,Heavy,Accident,3.0,0.0,R
W-3930536,Rain,Light,Accident,3.0,0.0,R
W-3930537,Rain,Moderate,Accident,3.0,0.0,R
W-5012764,Rain,Light,Lane-Blocked,3.0,0.0,R
W-5496871,Rain,Light,Congestion,1.0,0.0,L
W-1186945,Rain,Light,Congestion,1.0,0.0,R
W-788251,Rain,Light,Congestion,1.0,0.0,R
W-5767683,Rain,Light,Congestion,1.0,0.0,R
W-3796961,Rain,Light,Congestion,2.0,0.0,R
W-2191428,Rain,Moderate,Congestion,1.0,0.0,R
W-2191429,Rain,Light,Congestion,1.0,0.0,R
W-2892787,Rain,Light,Congestion,1.0,0.0,R
W-3930538,Rain,Light,Accident,3.0,0.0,R
W-5703240,Rain,Light,Congestion,1.0,0.0,R
W-5746502,Rain,Light,Congestion,2.0,0.0,R
W-925192,Rain,Light,Congestion,2.0,0.0,R
W-2892788,Rain,Light,Congestion,1.0,0.0,R
W-2191430,Rain,Moderate,Congestion,2.0,0.0,R
W-1124549,Rain,Light,Congestion,1.0,0.0,L
W-5012765,Rain,Moderate,Congestion,2.0,0.0,R
W-3842648,Rain,Light,Congestion,1.0,0.0,R
W-1633957,Rain,Light,Accident,3.0,0.0,R
W-5012766,Rain,Heavy,Congestion,2.0,0.0,R
W-5418863,Rain,Light,Accident,3.0,0.0,R
W-5703241,Rain,Light,Congestion,2.0,0.0,R
W-925193,Rain,Heavy,Congestion,2.0,0.0,R
W-5012767,Rain,Light,Congestion,1.0,0.0,R
W-1713021,Rain,Light,Congestion,1.0,0.0,R
W-2191431,Rain,Light,Congestion,2.0,0.0,L
W-5772642,Rain,Light,Congestion,2.0,0.0,L
W-2351458,Rain,Light,Congestion,2.0,0.0,R
W-3842649,Rain,Heavy,Congestion,2.0,0.0,R
W-2351459,Rain,Moderate,Congestion,2.0,0.0,R
W-202438,Rain,Light,Congestion,2.0,0.0,R
W-2351460,Fog,Severe,Congestion,2.0,0.0,R
W-1317181,Cold,Severe,Congestion,1.0,0.0,R
W-925196,Rain,Light,Congestion,1.0,0.0,R
W-202439,Rain,Light,Congestion,2.0,0.0,L
W-5703242,Rain,Light,Congestion,1.0,0.0,R
W-925197,Rain,Moderate,Congestion,1.0,0.0,R
W-2351462,Rain,Light,Congestion,2.0,0.0,L
W-2191432,Rain,Light,Congestion,1.0,0.0,R
W-925198,Rain,Light,Congestion,1.0,0.0,R
W-2191433,Rain,Light,Congestion,1.0,0.0,R
W-3842650,Rain,Light,Accident,3.0,0.0,R
W-5012768,Rain,Light,Lane-Blocked,3.0,0.0,R
W-1186946,Rain,Light,Congestion,2.0,0.0,R
W-5012769,Rain,Heavy,Congestion,2.0,0.0,R
W-5418864,Rain,Light,Accident,3.0,0.0,R
W-2351463,Rain,Light,Congestion,2.0,0.0,R
W-5746503,Rain,Light,Congestion,2.0,0.0,R
W-5012770,Rain,Light,Congestion,2.0,0.0,R
W-202441,Rain,Moderate,Congestion,2.0,0.0,R
W-202442,Rain,Heavy,Congestion,2.0,0.0,R
W-1633958,Rain,Light,Accident,3.0,0.0,R
W-1186947,Fog,Moderate,Congestion,2.0,0.0,R
W-1124553,Rain,Light,Congestion,2.0,0.0,R
W-3842651,Rain,Light,Congestion,1.0,0.0,R
W-5746504,Rain,Light,Congestion,2.0,0.0,L
W-5012771,Rain,Light,Accident,3.0,0.0,R
W-5496876,Rain,Light,Congestion,1.0,0.0,L
W-278629,Rain,Moderate,Accident,2.0,0.0,R
W-4227803,Rain,Moderate,Accident,3.0,0.0,R
W-278630,Fog,Severe,Accident,2.0,0.0,R
W-4227804,Rain,Heavy,Accident,3.0,0.0,R
W-278631,Rain,Heavy,Congestion,1.0,0.0,R
W-2191434,Rain,Light,Congestion,2.0,0.0,R
W-5767684,Rain,Light,Congestion,1.0,0.0,R
W-3842652,Rain,Light,Accident,3.0,0.0,R
W-2191435,Rain,Moderate,Congestion,2.0,0.0,R
W-2191436,Rain,Light,Congestion,0.0,0.0,R
W-4227805,Rain,Light,Congestion,1.0,0.0,R
W-5772643,Rain,Light,Congestion,2.0,0.0,R
W-5767685,Rain,Moderate,Congestion,0.0,0.0,R
W-5703243,Rain,Light,Congestion,0.0,0.0,R
W-278632,Rain,Light,Accident,2.0,0.0,L
W-5703244,Rain,Heavy,Congestion,1.0,0.0,R
W-2191437,Rain,Moderate,Congestion,1.0,0.0,R
W-2191438,Rain,Light,Congestion,1.0,0.0,R
W-278633,Rain,Moderate,Accident,2.0,0.0,R
W-5703245,Rain,Light,Accident,2.0,0.0,R
W-278634,Fog,Severe,Accident,2.0,0.0,R
W-4227806,Rain,Moderate,Accident,3.0,0.0,R
W-925199,Rain,Light,Congestion,1.0,0.0,R
W-278635,Rain,Heavy,Accident,2.0,0.0,R
W-4227807,Rain,Heavy,Accident,3.0,0.0,R
W-278636,Fog,Severe,Accident,2.0,0.0,R
W-5767686,Fog,Severe,Congestion,1.0,0.0,L
W-925200,Fog,Moderate,Congestion,1.0,0.0,R
W-2191439,Fog,Severe,Congestion,0.0,0.0,L
W-278637,Rain,Light,Accident,2.0,0.0,R
W-4227808,Rain,Light,Accident,3.0,0.0,R
W-5767687,Rain,Moderate,Lane-Blocked,3.0,0.0,R
W-4227809,Rain,Moderate,Accident,2.0,0.0,R
W-2191440,Rain,Light,Accident,3.0,0.0,R
W-5767688,Rain,Heavy,Accident,3.0,0.0,R
W-788252,Rain,Light,Accident,2.0,0.0,R
W-5703246,Rain,Moderate,Congestion,0.0,0.0,R
W-5703247,Rain,Heavy,Congestion,0.0,0.0,R
W-5767689,Rain,Light,Congestion,0.0,0.0,R
W-2191441,Rain,Heavy,Congestion,0.0,0.0,R
W-2191442,Rain,Light,Congestion,0.0,0.0,R
W-5703248,Rain,Light,Congestion,0.0,0.0,R
W-5703249,Rain,Moderate,Flow-Incident,3.0,0.0,R
W-3796962,Rain,Light,Congestion,1.0,0.0,R
W-1713030,Rain,Light,Congestion,1.0,0.0,R
W-4994863,Rain,Light,Congestion,0.0,0.0,R
W-5767690,Rain,Moderate,Accident,3.0,0.0,R
W-5496877,Rain,Light,Congestion,0.0,0.0,L
W-4227810,Rain,Moderate,Accident,3.0,0.0,R
W-4994864,Rain,Heavy,Congestion,1.0,0.0,R
W-2510130,Rain,Light,Congestion,2.0,0.0,L
W-1317186,Cold,Severe,Congestion,1.0,0.0,R
W-1124554,Rain,Light,Congestion,2.0,0.0,L
W-2191443,Rain,Light,Congestion,1.0,0.0,R
W-2723243,Rain,Light,Accident,3.0,0.0,R
